smiles
C(C=O)Cl
CC1(COC(=O)C1=O)C
CC(=O)O
C(=O)=O
C(=O)O
COC1=C(C=CC(=C1)C=C)O
CCCCCCCC(=O)O
CCCCCCCC=O
CNC
C1=CC(=C(C=C1CCN)O)O
CCOC(=O)C(C)C(=O)C
CCO
C(C(C=O)O)O
C(C(C(C(C=O)O)O)O)O
C1CSSC1CCCCC(=O)O
C(C(=O)C(=O)O)C(=O)O
CC1(COC(=O)C1O)C
C1=CC=C(C=C1)CCN
C1=C2C(=NC=N1)N=CN2
C1CCS(=O)C1
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O
C1C2=CC=CC=C2C3=C1C=C(C=C3)N
CCCCN(CCCC)CCCN
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
C1=CC=C2C(=C1)C3=CC=CC=C3NC2=O
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO
CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O
CC(=O)NC1=NN=C(S1)S(=O)(=O)N
CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)N
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2
CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
C1=CC(=CC=C1C=C(C#N)C#N)[N+](=O)[O-]
COC1=CC=C(C=C1)C=C(C#N)C#N
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
C1C2CC3CC1CC(C2)(C3)N
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O
CC(=O)C1=CC(=C(C=C1)O)OC
C(CCCC(=O)O)CCCC(=O)O
C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O
C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
CC1=C(N=CN1)CSCCNC(=NC)NC#N
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
C1CCCCCC(CCCCC1)N
C1CCCC(CC1)N
C1CCC(C1)N
C1=CC=C2C(=C1)C3=CC=CC=C3S2
C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
C(C(OC(F)F)(F)F)(F)Cl
CCOC1=CC=CC=C1C(=O)N
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
CC1=CNN=C1
C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(C)C
C1=CC2=C(C(=O)C=CC2=O)C(=C1)O
CNC1(CCCCC1=O)C2=CC=CC=C2Cl
C1=COC(=C1)CNC2=NC=NC3=C2NC=N3
C1=C(OC=C(C1=O)O)CO
CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
CN(CCCl)CCCl
CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C
CN(C)C(=N)N=C(N)N
CON
CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
CCN(CC)C(=O)C1=CC=CC(=C1)C
CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C
C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
C1CCC(C(C1)N)N
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O
CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
C1=CC=C(C=C1)CCCC(=O)O
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O
C1=CC=C(C(=C1)C=O)C=O
CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31
CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
